Flip Percentage,Group,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
5.0,Male,Accuracy,0.8562100000000001,0.004257032090814237,0.8516600000000001,0.005254758689881861
10.0,Male,Accuracy,0.8552099999999999,0.0028542152063999095,0.8492099999999999,0.005264017266097995
15.0,Male,Accuracy,0.85623,0.0024109956449566657,0.85091,0.004556057018470642
20.0,Male,Accuracy,0.8535599999999999,0.002403062860416082,0.8456999999999999,0.005584800802177285
25.0,Male,Accuracy,0.8551,0.003105765248336996,0.8493299999999999,0.004550019535977595
30.0,Male,Accuracy,0.8557500000000001,0.0035139800163853474,0.85017,0.004668048604907385
35.0,Male,Accuracy,0.8554600000000001,0.0022681465757064465,0.84688,0.005558952739100736
40.0,Male,Accuracy,0.85814,0.002729151272221212,0.84838,0.0049048003697058536
45.0,Male,Accuracy,0.8562999999999998,0.0029911721968337306,0.85397,0.005512270151418761
50.0,Male,Accuracy,0.8569700000000001,0.0027313834508460254,0.8491500000000001,0.005609045274276974
55.00000000000001,Male,Accuracy,0.85807,0.0032491041500354832,0.85548,0.004872206892158835
60.0,Male,Accuracy,0.85843,0.0028248520118563563,0.8540800000000001,0.0037597517648554125
65.0,Male,Accuracy,0.8562100000000001,0.002311490620549629,0.85348,0.0029560784833965433
70.0,Male,Accuracy,0.85473,0.001751827617090224,0.8501899999999999,0.00381011665029942
0.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
5.0,Male,Selection rate,0.11939999999999999,0.005869241859047896,0.09319,0.008415784772279606
10.0,Male,Selection rate,0.12358,0.0058678559400630595,0.07411,0.005533844353912867
15.0,Male,Selection rate,0.11521,0.006077617405968668,0.07511999999999999,0.006511337121598843
20.0,Male,Selection rate,0.11549000000000002,0.006269812153840372,0.06371,0.00451733574380101
25.0,Male,Selection rate,0.11559999999999997,0.005675170090451524,0.06822999999999999,0.002464821381853955
30.0,Male,Selection rate,0.11924000000000001,0.005628483119120304,0.07264999999999999,0.0063017149341358745
35.0,Male,Selection rate,0.11968000000000001,0.0058780533436768945,0.06937000000000001,0.005098301460072538
40.0,Male,Selection rate,0.11623000000000001,0.004325224464310108,0.0708,0.003640573825343716
45.0,Male,Selection rate,0.11738000000000001,0.0042740509017922465,0.07931,0.009221333357432042
50.0,Male,Selection rate,0.11892,0.00605243385387693,0.07063000000000001,0.005234671803359681
55.00000000000001,Male,Selection rate,0.11847,0.004940109085615192,0.09326999999999999,0.00923341817048871
60.0,Male,Selection rate,0.11888000000000003,0.004914712606043204,0.13028,0.01522971364726789
65.0,Male,Selection rate,0.11729,0.005585685076852953,0.15797,0.009756536840042735
70.0,Male,Selection rate,0.12317,0.005860964084517153,0.17329,0.0063651560162427375
0.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
5.0,Male,TPR,0.43590999999999996,0.018628881101963993,0.35385999999999995,0.028995188106534734
10.0,Male,TPR,0.44325000000000003,0.01635231719903262,0.29703,0.022312034869101473
15.0,Male,TPR,0.42468000000000006,0.016012368830237315,0.30381,0.021152659144629753
20.0,Male,TPR,0.41836,0.018454810875336666,0.2613599999999999,0.021212465936592827
25.0,Male,TPR,0.42256,0.017151858985738736,0.28249,0.012414601170485588
30.0,Male,TPR,0.43415,0.015255055628289991,0.29546,0.02304052564986794
35.0,Male,TPR,0.43382000000000004,0.014921318082975558,0.27982999999999997,0.02242637361084786
40.0,Male,TPR,0.43246,0.014520270888198563,0.28733,0.015931143852355497
45.0,Male,TPR,0.4312,0.014910451219046173,0.3236,0.03147014811249261
50.0,Male,TPR,0.43716,0.01782812509616321,0.28881999999999997,0.021931037367165285
55.00000000000001,Male,TPR,0.43815,0.017099403823265625,0.36599000000000004,0.03084441404497381
60.0,Male,TPR,0.44015000000000004,0.01457312023326965,0.46051000000000003,0.03692725717166416
65.0,Male,TPR,0.4312499999999999,0.017330347499240874,0.53184,0.025792002205679523
70.0,Male,TPR,0.4426,0.01635186703577165,0.56278,0.01603826535369569
0.0,Male,TNR,0.9468,0.003937201487802664,0.94954,0.0067640750373655035
5.0,Male,TNR,0.9535900000000002,0.004101935857345621,0.9669000000000001,0.004314883801705697
10.0,Male,TNR,0.9504299999999999,0.0044336603889387404,0.97714,0.00286046616247539
15.0,Male,TNR,0.9562800000000001,0.004974262647758847,0.9775500000000001,0.0038320650075673573
20.0,Male,TNR,0.95444,0.004637652662955932,0.98141,0.0026086799556693657
25.0,Male,TNR,0.9552399999999999,0.003470164901621308,0.9808600000000001,0.002552219078022545
30.0,Male,TNR,0.9534699999999999,0.0049301352246498556,0.9786199999999999,0.0032076228650582453
35.0,Male,TNR,0.95297,0.004209936658272502,0.97865,0.0029176188921790336
40.0,Male,TNR,0.95678,0.0033302919458276384,0.9787100000000001,0.003017668341985613
45.0,Male,TNR,0.95496,0.003611407851055684,0.9768199999999998,0.004487954248132814
50.0,Male,TNR,0.9545,0.005173329037798899,0.97926,0.0032767260082791952
55.00000000000001,Male,TNR,0.9554,0.004097831404806965,0.96926,0.005568606448455285
60.0,Male,TNR,0.9554,0.0045016293346594695,0.9457699999999999,0.011343985680135135
65.0,Male,TNR,0.95503,0.00470271907162937,0.9282600000000001,0.007262524813497481
70.0,Male,TNR,0.95053,0.005091431800365965,0.9167499999999998,0.005502105657533907
0.0,Male,FPR,0.053200000000000004,0.00393720148780267,0.050460000000000005,0.006764075037365501
5.0,Male,FPR,0.04641000000000001,0.0041019358573456234,0.0331,0.004314883801705698
10.0,Male,FPR,0.04957,0.004433660388938743,0.02286,0.0028604661624753868
15.0,Male,FPR,0.04372,0.004974262647758849,0.02245,0.0038320650075673573
20.0,Male,FPR,0.04556,0.00463765266295593,0.01859,0.002608679955669363
